trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
1.113360000000000044e-02	-2.157200000000000176e-03	-3.678639999999999688e-02	-9.095029999999999554e-05	1.238869999999999989e-03	-1.359549999999999951e-03
1.304319999999999959e-02	6.681489999999999999e-03	-3.283980000000000232e-02	1.750199999999999879e-04	1.183419999999999915e-03	-1.359549999999999951e-03
5.835670000000000267e-03	8.858960000000000445e-02	-7.609259999999999635e-03	-1.020800000000000093e-03	1.126100000000000104e-03	-1.359549999999999951e-03
4.756390000000000097e-03	6.039870000000000134e-03	-4.641669999999999824e-02	4.040410000000000030e-04	1.231899999999999966e-03	-1.359549999999999951e-03
8.232549999999999937e-03	1.446290000000000076e-02	-3.268250000000000322e-02	4.040410000000000030e-04	1.017370000000000080e-03	-1.359549999999999951e-03
2.442450000000000090e-03	8.001389999999999891e-02	-1.522390000000000028e-02	-9.051110000000000015e-04	1.109820000000000077e-03	-1.359549999999999951e-03
-5.991910000000000031e-04	7.923029999999999309e-03	-5.358170000000000294e-02	1.701539999999999975e-04	1.017370000000000080e-03	-1.286000000000000034e-03
6.229359999999999759e-03	4.138759999999999661e-02	-3.700559999999999961e-02	9.694330000000000406e-05	1.017370000000000080e-03	-1.359549999999999951e-03
6.231180000000000226e-03	9.815129999999999688e-02	-1.471100000000000012e-02	-5.670090000000000460e-04	8.470770000000000079e-04	-1.359549999999999951e-03
6.246780000000000388e-03	1.307350000000000005e-02	-6.376579999999999748e-02	1.705540000000000072e-04	1.324789999999999952e-03	-1.359549999999999951e-03
1.358000000000000006e-02	4.035699999999999704e-02	-4.826989999999999753e-02	1.413619999999999927e-04	1.465949999999999935e-03	-1.359549999999999951e-03
1.143440000000000081e-02	9.685040000000000315e-02	-2.511530000000000012e-02	-1.002660000000000053e-03	1.449379999999999896e-03	-1.359549999999999951e-03
2.586489999999999970e-02	1.263869999999999924e-02	-6.257730000000000237e-02	1.781310000000000060e-05	1.658780000000000107e-03	-1.438019999999999923e-03
2.586269999999999888e-02	3.599539999999999684e-02	-4.881370000000000153e-02	1.007710000000000013e-04	1.689079999999999922e-03	-1.359549999999999951e-03
