component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_118	0	24.1583263301	0.0007248736	0.9075915166	True
t_comp_cor_119	0	24.0839388642	0.0007204165	0.9083119331	True
t_comp_cor_120	0	23.8259754756	0.0007050663	0.9090169994	True
t_comp_cor_121	0	23.7323078771	0.0006995335	0.9097165329	True
t_comp_cor_122	0	23.7088930292	0.0006981539	0.9104146868	True
t_comp_cor_123	0	23.6214045857	0.0006930108	0.9111076977	True
t_comp_cor_124	0	23.4319713895	0.0006819401	0.9117896378	True
t_comp_cor_125	0	23.3320998244	0.0006761394	0.9124657772	True
t_comp_cor_126	0	23.2840032400	0.0006733547	0.9131391319	True
t_comp_cor_127	0	23.1706776003	0.0006668161	0.9138059480	True
t_comp_cor_128	0	23.1274833633	0.0006643323	0.9144702803	True
t_comp_cor_129	0	23.0172398863	0.0006580139	0.9151282942	True
t_comp_cor_130	0	22.9338336628	0.0006532538	0.9157815480	True
t_comp_cor_131	0	22.8719675554	0.0006497341	0.9164312820	True
t_comp_cor_132	0	22.7306272347	0.0006417287	0.9170730107	True
t_comp_cor_133	0	22.7092282953	0.0006405210	0.9177135317	True
t_comp_cor_134	0	22.6706654992	0.0006383475	0.9183518791	True
t_comp_cor_135	0	22.5888421783	0.0006337479	0.9189856270	True
t_comp_cor_136	0	22.5371278543	0.0006308495	0.9196164765	True
t_comp_cor_137	0	22.4346807375	0.0006251272	0.9202416037	True
t_comp_cor_138	0	22.4015341650	0.0006232813	0.9208648850	True
t_comp_cor_139	0	22.3199525678	0.0006187499	0.9214836349	True
t_comp_cor_140	0	22.2093104318	0.0006126307	0.9220962656	True
t_comp_cor_141	0	22.0778629838	0.0006054003	0.9227016659	True
t_comp_cor_142	0	22.0295203383	0.0006027520	0.9233044179	True
t_comp_cor_143	0	21.9681116892	0.0005993963	0.9239038142	True
t_comp_cor_144	0	21.8714821488	0.0005941348	0.9244979491	True
t_comp_cor_145	0	21.7921879576	0.0005898346	0.9250877837	True
t_comp_cor_146	0	21.7021356183	0.0005849699	0.9256727536	True
t_comp_cor_147	0	21.6356441792	0.0005813909	0.9262541446	True
t_comp_cor_148	0	21.5367812217	0.0005760898	0.9268302344	True
t_comp_cor_149	0	21.4496503333	0.0005714379	0.9274016723	True
t_comp_cor_150	0	21.4029142668	0.0005689504	0.9279706227	True
t_comp_cor_151	0	21.3729149103	0.0005673566	0.9285379793	True
t_comp_cor_152	0	21.3261802312	0.0005648781	0.9291028574	True
t_comp_cor_153	0	21.1995006638	0.0005581872	0.9296610446	True
t_comp_cor_154	0	21.0660842746	0.0005511835	0.9302122281	True
t_comp_cor_155	0	21.0351448311	0.0005495657	0.9307617938	True
t_comp_cor_156	0	20.9817883946	0.0005467812	0.9313085750	True
t_comp_cor_157	0	20.9557790857	0.0005454265	0.9318540015	True
t_comp_cor_158	0	20.9080706600	0.0005429458	0.9323969474	True
t_comp_cor_159	0	20.8682026099	0.0005408772	0.9329378246	True
t_comp_cor_160	0	20.7949633570	0.0005370873	0.9334749119	True
t_comp_cor_161	0	20.6859934934	0.0005314732	0.9340063851	True
t_comp_cor_162	0	20.6427235833	0.0005292521	0.9345356372	True
t_comp_cor_163	0	20.5014120779	0.0005220308	0.9350576680	True
t_comp_cor_164	0	20.4504690300	0.0005194397	0.9355771077	True
t_comp_cor_165	0	20.4233743315	0.0005180642	0.9360951720	True
t_comp_cor_166	0	20.3594717682	0.0005148273	0.9366099993	True
t_comp_cor_167	0	20.3031398937	0.0005119824	0.9371219817	True
t_comp_cor_168	0	20.2510642045	0.0005093594	0.9376313410	True
t_comp_cor_169	0	20.1949758720	0.0005065418	0.9381378828	True
t_comp_cor_170	0	20.1407392589	0.0005038246	0.9386417075	True
t_comp_cor_171	0	20.0486028422	0.0004992256	0.9391409330	True
t_comp_cor_172	0	19.9991648897	0.0004967665	0.9396376996	True
t_comp_cor_173	0	19.9236605035	0.0004930226	0.9401307222	True
t_comp_cor_174	0	19.8373729103	0.0004887614	0.9406194836	True
t_comp_cor_175	0	19.8138383359	0.0004876024	0.9411070860	True
t_comp_cor_176	0	19.7150288648	0.0004827513	0.9415898373	True
t_comp_cor_177	0	19.6163885482	0.0004779327	0.9420677699	True
t_comp_cor_178	0	19.5302455800	0.0004737443	0.9425415143	True
t_comp_cor_179	0	19.5254343075	0.0004735109	0.9430150252	True
t_comp_cor_180	0	19.4482670863	0.0004697756	0.9434848007	True
t_comp_cor_181	0	19.3479551069	0.0004649420	0.9439497427	True
t_comp_cor_182	0	19.3150047354	0.0004633597	0.9444131024	True
t_comp_cor_183	0	19.2466359409	0.0004600852	0.9448731876	True
t_comp_cor_184	0	19.1974868730	0.0004577384	0.9453309260	True
t_comp_cor_185	0	19.0776492548	0.0004520415	0.9457829675	True
t_comp_cor_186	0	18.9785394594	0.0004473569	0.9462303244	True
t_comp_cor_187	0	18.9653399678	0.0004467349	0.9466770593	True
t_comp_cor_188	0	18.8945944848	0.0004434082	0.9471204675	True
t_comp_cor_189	0	18.8307700202	0.0004404177	0.9475608852	True
t_comp_cor_190	0	18.7588309271	0.0004370591	0.9479979443	True
t_comp_cor_191	0	18.7113895961	0.0004348512	0.9484327955	True
t_comp_cor_192	0	18.6659804016	0.0004327432	0.9488655386	True
t_comp_cor_193	0	18.5769002918	0.0004286226	0.9492941613	True
t_comp_cor_194	0	18.5432407301	0.0004270708	0.9497212321	True
t_comp_cor_195	0	18.5052632993	0.0004253233	0.9501465553	True
t_comp_cor_196	0	18.4431992895	0.0004224751	0.9505690304	True
t_comp_cor_197	0	18.3817204830	0.0004196632	0.9509886936	True
t_comp_cor_198	0	18.3596695755	0.0004186570	0.9514073506	True
t_comp_cor_199	0	18.2858998269	0.0004152994	0.9518226500	True
t_comp_cor_200	0	18.2292200521	0.0004127288	0.9522353788	True
t_comp_cor_201	0	18.2104453664	0.0004118791	0.9526472578	True
t_comp_cor_202	0	18.1844336431	0.0004107033	0.9530579611	True
t_comp_cor_203	0	18.1144160977	0.0004075466	0.9534655077	True
t_comp_cor_204	0	18.0650859313	0.0004053299	0.9538708376	True
t_comp_cor_205	0	18.0239597367	0.0004034865	0.9542743241	True
t_comp_cor_206	0	17.9762089788	0.0004013514	0.9546756756	True
t_comp_cor_207	0	17.9031400056	0.0003980953	0.9550737708	True
t_comp_cor_208	0	17.8456061913	0.0003955407	0.9554693116	True
t_comp_cor_209	0	17.7936336463	0.0003932402	0.9558625517	True
t_comp_cor_210	0	17.6915700739	0.0003887419	0.9562512936	True
t_comp_cor_211	0	17.6021345982	0.0003848215	0.9566361151	True
t_comp_cor_212	0	17.5625115036	0.0003830909	0.9570192060	True
t_comp_cor_213	0	17.4768390411	0.0003793625	0.9573985685	True
t_comp_cor_214	0	17.4459469677	0.0003780225	0.9577765910	True
t_comp_cor_215	0	17.4221809099	0.0003769933	0.9581535843	True
t_comp_cor_216	0	17.3991289587	0.0003759963	0.9585295806	True
t_comp_cor_217	0	17.3372886450	0.0003733283	0.9589029090	True
t_comp_cor_218	0	17.2911268570	0.0003713430	0.9592742519	True
t_comp_cor_219	0	17.2386835845	0.0003690938	0.9596433458	True
t_comp_cor_220	0	17.1374904236	0.0003647733	0.9600081191	True
t_comp_cor_221	0	17.1034259157	0.0003633246	0.9603714437	True
t_comp_cor_222	0	17.0713561782	0.0003619634	0.9607334071	True
t_comp_cor_223	0	17.0278062121	0.0003601190	0.9610935260	True
t_comp_cor_224	0	16.9757399608	0.0003579200	0.9614514461	True
t_comp_cor_225	0	16.9455199463	0.0003566469	0.9618080929	True
t_comp_cor_226	0	16.9047215400	0.0003549316	0.9621630245	True
t_comp_cor_227	0	16.8771446616	0.0003537745	0.9625167990	True
t_comp_cor_228	0	16.8483647335	0.0003525690	0.9628693680	True
t_comp_cor_229	0	16.7618454436	0.0003489573	0.9632183253	True
t_comp_cor_230	0	16.7201705991	0.0003472242	0.9635655495	True
t_comp_cor_231	0	16.6610732295	0.0003447740	0.9639103235	True
t_comp_cor_232	0	16.6175649423	0.0003429757	0.9642532992	True
t_comp_cor_233	0	16.5463583861	0.0003400427	0.9645933419	True
t_comp_cor_234	0	16.4643377376	0.0003366799	0.9649300218	True
t_comp_cor_235	0	16.4364203617	0.0003355391	0.9652655609	True
t_comp_cor_236	0	16.3568447881	0.0003322979	0.9655978588	True
t_comp_cor_237	0	16.3092403194	0.0003303665	0.9659282253	True
t_comp_cor_238	0	16.2140062375	0.0003265196	0.9662547450	True
t_comp_cor_239	0	16.1744555532	0.0003249286	0.9665796736	True
t_comp_cor_240	0	16.1549598820	0.0003241458	0.9669038193	True
