Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07
0.0455961231	-0.0087512246	-0.0571608769	-0.0667869427	-0.0310981478	0.0256907032	0.0650484428	0.0602708918
0.0452074128	-0.0097742079	-0.0580139249	-0.0662376845	-0.0287730276	0.0285382481	0.0661648477	0.0581532710
0.0448161731	-0.0107950037	-0.0588377612	-0.0656291347	-0.0264076657	0.0313283208	0.0670998993	0.0558274765
0.0444224259	-0.0118133836	-0.0596319709	-0.0649618379	-0.0240053703	0.0340553025	0.0678510348	0.0533018341
0.0440261933	-0.0128291197	-0.0603961540	-0.0642363914	-0.0215695012	0.0367137012	0.0684161953	0.0505853850
0.0436274975	-0.0138419847	-0.0611299259	-0.0634534447	-0.0191034652	0.0392981635	0.0687938318	0.0476878533
0.0432263606	-0.0148517520	-0.0618329170	-0.0626136985	-0.0166107113	0.0418034845	0.0689829091	0.0446196115
0.0428228053	-0.0158581954	-0.0625047734	-0.0617179046	-0.0140947258	0.0442246189	0.0689829091	0.0413916431
0.0424168541	-0.0168610899	-0.0631451568	-0.0607668648	-0.0115590276	0.0465566908	0.0687938318	0.0380155034
0.0420085296	-0.0178602109	-0.0637537446	-0.0597614305	-0.0090071630	0.0487950036	0.0684161953	0.0345032780
0.0415978548	-0.0188553349	-0.0643302306	-0.0587025015	-0.0064427011	0.0509350499	0.0678510348	0.0308675398
0.0411848525	-0.0198462391	-0.0648743243	-0.0575910259	-0.0038692285	0.0529725197	0.0670998993	0.0271213038
0.0407695460	-0.0208327018	-0.0653857518	-0.0564279985	-0.0012903444	0.0549033099	0.0661648477	0.0232779806
0.0403519584	-0.0218145022	-0.0658642557	-0.0552144604	0.0012903444	0.0567235322	0.0650484428	0.0193513283
0.0399321132	-0.0227914206	-0.0663095949	-0.0539514979	0.0038692285	0.0584295208	0.0637537446	0.0153554033
0.0395100337	-0.0237632383	-0.0667215453	-0.0526402415	0.0064427011	0.0600178402	0.0622843019	0.0113045099
0.0390857437	-0.0247297380	-0.0670998993	-0.0512818650	0.0090071630	0.0614852915	0.0606441422	0.0072131492
0.0386592668	-0.0256907032	-0.0674444665	-0.0498775842	0.0115590276	0.0628289198	0.0588377612	0.0030959674
0.0382306269	-0.0266459189	-0.0677550734	-0.0484286562	0.0140947258	0.0640460189	0.0568701099	-0.0010322972
0.0377998481	-0.0275951713	-0.0680315636	-0.0469363781	0.0166107113	0.0651341378	0.0547465817	-0.0051568664
0.0373669543	-0.0285382481	-0.0682737978	-0.0454020855	0.0191034652	0.0660910853	0.0524729968	-0.0092629754
0.0369319699	-0.0294749381	-0.0684816541	-0.0438271519	0.0215695012	0.0669149341	0.0500555871	-0.0133359253
0.0364949191	-0.0304050317	-0.0686550279	-0.0422129871	0.0240053703	0.0676040252	0.0475009785	-0.0173611361
0.0360558264	-0.0313283208	-0.0687938318	-0.0405610359	0.0264076657	0.0681569707	0.0448161731	-0.0213241985
0.0356147165	-0.0322445987	-0.0688979959	-0.0388727771	0.0287730276	0.0685726572	0.0420085296	-0.0252109258
0.0351716138	-0.0331536604	-0.0689674677	-0.0371497219	0.0310981478	0.0688502475	0.0390857437	-0.0290074046
